Player,Nation,From,To,Price
Terell Pennant,England,Leicester,Coalville Town,0.0
Mohamed Dräger,Tunisia,Nottingham,Basel,0.4
João Moutinho,Portugal,Wolverhampton,Sporting Braga,0.0
Ruben Shakpoke,England,Aston Villa,West Bromwich,0.0
Noam Emeran,France,Man Utd,Groningen,0.0
Roshaun Mathurin,England,Tottenham,C. Palace,0.0
David Omilabu,England,C. Palace,Maidenhead United,0.0
Jérémy Doku,Belgium,Stade Rennais,Man City,60.0
Aymeric Laporte,Spain,Man City,Al-Nassr,27.5
Matt Everitt,Ireland,Brighton,Dorking Wanderers,0.0
Sam Bellis,England,Southampton,Barrow,0.0
Rowan McDonald,England,Man City,Waterford,0.0
Aaron Ramsey,England,Aston Villa,Burnley,16.5
Hannes Delcroix,Belgium,Anderlecht,Burnley,3.0
Konstantinos Mavropanos,Greece,VfB Stuttgart,West Ham United,20.0
Prince Adegoke,England,Chelsea,Charlton Athletic,0.0
Tyler Adams,United States,Leeds United,B'mouth,26.9
Sergi Canós,Spain,Brentford,Valencia,0.3
Aleksandar Mitrović,Serbia,Fulham,Al-Hilal,52.6
David Boateng,England,C. Palace,AFC Croydon Athletic,0.0
Joe Oliver,England,Newcastle Utd.,Blyth Spartans AFC,0.0
Lewis Richards,Ireland,Wolverhampton,Bradford City,35.0
Roméo Lavia,Belgium,Southampton,Chelsea,62.1
Wataru Endo,Japan,VfB Stuttgart,Liverpool,20.0
Arjan Raikhy,England,Aston Villa,Leicester,0.0
Tom Davies,England,Everton,Sheff Utd,0.0
Jake O'Brien,Ireland,C. Palace,Lyon,1.0
Matej Kovar,Czech Republic,Man Utd,Bayer 04,5.0
Billy Sharp,England,Sheff Utd,LA Galaxy,0.0
Reece Hannam,England,C. Palace,Stevenage,0.0
James Ward-Prowse,England,Southampton,West Ham United,34.8
Moisés Caicedo,Ecuador,Brighton,Chelsea,116.0
Armstrong Oko-Flex,Ireland,West Ham United,Zurich,0.0
Alex Oxlade-Chamberlain,England,Liverpool,Besiktas,0.0
Fred,Brazil,Man Utd,Fenerbahce,9.7
Diego Costa,Spain,Wolverhampton,Botafogo,0.0
Adama Traoré,Spain,Wolverhampton,Fulham,0.0
Wilson Odobert,France,Troyes,Burnley,12.0
Harry Kane,England,Tottenham,Bayern,95.0
Gustavo Hamer,Netherlands,Coventry,Sheff Utd,17.3
Matt Burgess,England,B'mouth,Bognor Regis Town FC,0.0
Noel Atom,Germany,RB Leipzig,Brighton,0.0
Chermiti,Portugal,Sporting CP,Everton,12.5
